id	slice	input	target	ok (y/n)	note
tatoeba-24318-805002-fill_en_zh	fill_en_zh	[during the summer vacation]，我在邮局工作。	暑假期间		
tatoeba-27505-6828221-fill_en_zh	fill_en_zh	你[on earth]为什么在这里？	到底		
tatoeba-4979557-6094832-unchanged_en	unchanged_en	I can work with anyone.	UNCHANGED		
tatoeba-69089-895719-fill_zh_en	fill_zh_en	You don't have to [早起] early.	get up		
tatoeba-2407912-6559041-unchanged_zh	unchanged_zh	我想我迷路了。	UNCHANGED		
tatoeba-4664334-5574453-naturalize_zh	naturalize_zh	我确实在这里丢失了东西。	我确实在这里丢了东西。		
tatoeba-708138-710294-naturalize_zh	naturalize_zh	我家不有电脑。	我家没有电脑。		
tatoeba-376424-799301-fill_zh_en	fill_zh_en	[你们] ready?	Are you		
tatoeba-265616-404463-unchanged_zh	unchanged_zh	我能借你的车吗？	UNCHANGED		
tatoeba-41498-746035-fill_en_zh	fill_en_zh	请不要[speak so fast]。	说得那么快		
tatoeba-416890-10552169-unchanged_en	unchanged_en	How did you reply?	UNCHANGED		
tatoeba-9499236-10062414-fill_en_zh	fill_en_zh	我们没有[ice]。	冰激凌		
tatoeba-2528462-9956903-naturalize_en	naturalize_en	I eat gum.	I chew gum.		
tatoeba-260185-2393699-naturalize_zh	naturalize_zh	在派对中我和他谈话非常高兴。	在派对中我和他聊得很开心。		
tatoeba-2176-503300-fill_en_zh	fill_en_zh	这是个[dead end]。	死胡同		
tatoeba-4569171-5097616-fill_en_zh	fill_en_zh	为什么你做饭那么[good at]呢？	拿手		
tatoeba-251477-8591215-fill_zh_en	fill_zh_en	As far as I know, she is still [失踪].	missing		
tatoeba-3726474-12689222-fill_zh_en	fill_zh_en	We're [一丘之貉].	birds of a feather		
tatoeba-387557-333942-naturalize_en	naturalize_en	Nobody believe what I say.	Nobody believes what I say.		
tatoeba-8626141-8753758-naturalize_en	naturalize_en	We must find some fun always.	We have to have fun somehow.		
tatoeba-237640-811286-naturalize_zh	naturalize_zh	你应该服从你的父母。	你该听你父母的话。		
tatoeba-953728-7771874-unchanged_en	unchanged_en	I wish I could figure out how to disable comments on my blog.	UNCHANGED		
tatoeba-3856475-4885091-naturalize_zh	naturalize_zh	你为什么知道？	你为什么会知道？		
tatoeba-2244975-8673739-unchanged_zh	unchanged_zh	你不冷吗？	UNCHANGED		
tatoeba-2323225-5983582-naturalize_en	naturalize_en	I think we can not wait any more.	I don't think we can wait any longer.		
tatoeba-1396362-333906-naturalize_zh	naturalize_zh	我想要一艘船带我走远离开这里。	我想要一艘船带我远离这里。		
tatoeba-2544906-5862111-naturalize_en	naturalize_en	I not try that again.	I wouldn't try that again.		
tatoeba-3378102-3378101-naturalize_zh	naturalize_zh	我卖花朵。	我卖花。		
tatoeba-9023459-13071523-naturalize_en	naturalize_en	I burn everything.	I burnt everything.		
tatoeba-505490-1361958-fill_en_zh	fill_en_zh	你[need not]马上去做。	没必要		
tatoeba-2360532-9958568-naturalize_zh	naturalize_zh	我必须去帮助。	我必须帮忙。		
tatoeba-3734899-4835918-fill_en_zh	fill_en_zh	[We'll meet again]。	后会有期		
tatoeba-67182-3839477-fill_en_zh	fill_en_zh	[to some extent]，我认同你所说的。	在某种程度上		
tatoeba-8444209-8463669-naturalize_en	naturalize_en	I delete the app.	I deleted the app.		
tatoeba-69786-1358716-fill_en_zh	fill_en_zh	我听说你[play the piano]。	弹钢琴		
tatoeba-1498981-1490533-fill_en_zh	fill_en_zh	我[no books to read]。	没书可读		
tatoeba-16252-2007057-fill_zh_en	fill_zh_en	What time will you [到] the station?	get to		
tatoeba-4910918-343849-naturalize_zh	naturalize_zh	我有三个票。	我有三张票。		
tatoeba-436445-512866-fill_zh_en	fill_zh_en	I am [太矮了].	too short		
tatoeba-402418-609920-unchanged_zh	unchanged_zh	是的，今天晚上很愉快。	UNCHANGED		
tatoeba-20849-336508-fill_zh_en	fill_zh_en	Don't [笑] him for making a mistake.	laugh at		
tatoeba-321849-411702-naturalize_en	naturalize_en	I have two car.	I have two cars.		
tatoeba-436399-462002-unchanged_en	unchanged_en	I am lost. Can you help me, please?	UNCHANGED		
tatoeba-21335-8886664-fill_en_zh	fill_en_zh	我觉得[don't think]更多学生想来了。	不会有		
tatoeba-2220304-336871-naturalize_en	naturalize_en	You will dance with me?	Will you dance with me?		
tatoeba-371967-8943494-fill_en_zh	fill_en_zh	我今晚可以[borrow]你的车吗？	借一下		
tatoeba-4495085-10696128-unchanged_zh	unchanged_zh	我们就是问题所在。	UNCHANGED		
tatoeba-4769444-4182621-fill_zh_en	fill_zh_en	We [喝了很多].	had a lot to drink		
tatoeba-254932-363981-fill_zh_en	fill_zh_en	I [等着] for a taxi.	was waiting		
tatoeba-8634792-9955978-fill_zh_en	fill_zh_en	Can I borrow your book [一会]?	for a minute		
tatoeba-16340-471434-unchanged_zh	unchanged_zh	您怎么敢这样说话？	UNCHANGED		
tatoeba-29912-3003775-fill_zh_en	fill_zh_en	I [睡不好].	can't sleep well		
tatoeba-258906-4789637-naturalize_en	naturalize_en	I like swimming, but I don't want swim here.	I like swimming, but I don't like to swim here.		
tatoeba-2107331-7772576-naturalize_en	naturalize_en	We are adult.	We're adults.		
tatoeba-16395-471380-fill_en_zh	fill_en_zh	你[must]早一点起床。	该		
tatoeba-66094-833003-naturalize_zh	naturalize_zh	我比平常迟到。	我比平常晚到。		
tatoeba-1153966-5624945-fill_zh_en	fill_zh_en	I [乘电梯] to the third floor.	took the elevator		
tatoeba-2387818-7885816-naturalize_en	naturalize_en	I need you promise you will do what I say.	I need you to promise you'll do what I ask you to do.		
tatoeba-50154-335854-naturalize_zh	naturalize_zh	这条裙子对你非常合适。	这条裙子很适合你。		
tatoeba-498458-406727-fill_en_zh	fill_en_zh	[bedtime]到了。	睡觉时间		
tatoeba-2837953-4881675-unchanged_en	unchanged_en	Do you know whose this is?	UNCHANGED		
tatoeba-57235-802873-naturalize_en	naturalize_en	Can you explain this sentence meaning to me?	Will you please explain the meaning of this sentence to me?		
tatoeba-12273120-11702403-fill_en_zh	fill_en_zh	我们[absolutely nothing]得到。	什么也没有		
tatoeba-325404-1438523-fill_en_zh	fill_en_zh	[Frankly speaking]，我不赞成你。	实话说		
tatoeba-43885-8589633-naturalize_zh	naturalize_zh	我记得我把书还图书馆了。	我记得我把书还到图书馆了。		
tatoeba-2280312-10699408-fill_en_zh	fill_en_zh	我需要[doctor]。	医生		
tatoeba-1075739-5696838-naturalize_en	naturalize_en	If this song famous, I not too surprised.	I wouldn't be too surprised if this song became a hit.		
tatoeba-4668890-8832014-naturalize_zh	naturalize_zh	这个夏天我重了二公斤。	这个夏天我胖了两公斤。		
tatoeba-16056-392254-naturalize_zh	naturalize_zh	你应该自己做它。	你应该自己做。		
tatoeba-2007-407231-naturalize_zh	naturalize_zh	我工作非常喜欢。	我非常喜欢我的工作。		
tatoeba-1597-334169-fill_en_zh	fill_en_zh	要我[explain it to you]是不可能的。	解释给你听		
tatoeba-386764-345934-fill_en_zh	fill_en_zh	如果明天下雨的话，我就不去[picnic]了。	野餐		
tatoeba-1286932-1785979-fill_zh_en	fill_zh_en	You [买不到] happiness.	can't buy		
tatoeba-924144-6774602-fill_zh_en	fill_zh_en	I always drink milk [早餐].	with my breakfast		
tatoeba-1887332-5091184-fill_en_zh	fill_en_zh	我有一个[vision]。	设想		
tatoeba-2545426-406328-fill_zh_en	fill_zh_en	I'm [很高兴] to see you.	delighted		
tatoeba-2737421-2737412-naturalize_zh	naturalize_zh	如果你不给他回，他会生气！	要是你不还给他，他就会生气！		
tatoeba-1737475-7767666-fill_en_zh	fill_en_zh	我们[have to]走了。	必须		
tatoeba-23228-335314-naturalize_zh	naturalize_zh	我们常常把黑色和死亡联系。	我们常把黑色跟死亡联系起来。		
tatoeba-430893-1783889-fill_zh_en	fill_zh_en	I use [火狐].	Firefox		
tatoeba-56567-336866-fill_en_zh	fill_en_zh	这药对你[do you good]。	有好处		
tatoeba-38784-4885879-naturalize_en	naturalize_en	Why I should apologize to you?	Why should I apologize to you?		
tatoeba-245915-5613677-naturalize_zh	naturalize_zh	儿童应该离开河流远。有危险。	儿童应该远离河流。有危险。		
tatoeba-259372-791595-fill_en_zh	fill_en_zh	我知道谁[lives in this house]。	住在这房子里		
tatoeba-4208292-4208536-fill_zh_en	fill_zh_en	I'd like to [试试这件]. Where are the fitting rooms?	try this on		
tatoeba-1858659-5663593-unchanged_en	unchanged_en	"Will you be at my party tomorrow night?" "I'll try to be there."	UNCHANGED		
tatoeba-2362086-1428151-fill_en_zh	fill_en_zh	我不知道[how to use]它。	如何使用		
tatoeba-2361129-5574747-naturalize_zh	naturalize_zh	我不在意那么多。	我不那么在意。		
tatoeba-3635893-10982872-naturalize_zh	naturalize_zh	我们要去回家。	我们要回家。		
tatoeba-425154-4265088-fill_en_zh	fill_en_zh	鸵鸟[can't fly]。	不会飞		
tatoeba-2547826-7767660-fill_en_zh	fill_en_zh	我会帮你[escape]的。	逃跑		
tatoeba-655534-2040283-fill_zh_en	fill_zh_en	I want to go abroad [将来].	someday		
tatoeba-455833-5092558-fill_zh_en	fill_zh_en	I'm [迷失].	lost		
tatoeba-5263806-2824763-fill_en_zh	fill_en_zh	我不想[open]窗户。	打开		
tatoeba-575353-332797-fill_zh_en	fill_zh_en	I respect [长辈].	the elderly		
tatoeba-40904-344212-naturalize_en	naturalize_en	I think this is worth to ask.	I think it's worth asking.		
tatoeba-3329958-3839482-fill_zh_en	fill_zh_en	I think it's time for you to [懂事].	grow up		
tatoeba-247946-333784-fill_en_zh	fill_en_zh	我们是[classmates]。	同学		
tatoeba-1495859-4844986-fill_en_zh	fill_en_zh	你[get]我发的邮件了吗？	收到了		
tatoeba-7775080-5549707-fill_en_zh	fill_en_zh	我们需要[buy a new TV]。	买新电视机		
tatoeba-1886477-4264880-fill_en_zh	fill_en_zh	[do something]吧！	做点什么		
tatoeba-395886-567831-unchanged_zh	unchanged_zh	这里不能停车。	UNCHANGED		
tatoeba-2821975-9970235-fill_zh_en	fill_zh_en	I [恨] my computer.	hate		
tatoeba-2619395-5967316-naturalize_zh	naturalize_zh	我认为我能做那个好。	我认为我能做好。		
tatoeba-62016-813550-fill_zh_en	fill_zh_en	[只告诉我一个人], what is your opinion of her?	Between you and me		
tatoeba-285017-1415766-fill_en_zh	fill_en_zh	我[remember seeing]他。	记得见过		
tatoeba-30763-7856336-fill_en_zh	fill_en_zh	如果我够钱的话，就能[go abroad]了。	出国		
tatoeba-261642-4673805-fill_zh_en	fill_zh_en	I don't like [学习].	studying		
tatoeba-426607-501203-unchanged_en	unchanged_en	We can't get close to the enemy.	UNCHANGED		
tatoeba-7021202-7773130-fill_en_zh	fill_en_zh	等雨停了，我们去[go for a walk]吧。	散步		
tatoeba-4497887-6774612-unchanged_zh	unchanged_zh	我们没水。	UNCHANGED		
tatoeba-1396432-2030808-naturalize_zh	naturalize_zh	当孩子们在旁边的时候，你不应该说那种事情。	孩子们在旁边的时候，你不应该说那种事。		
tatoeba-323095-8696223-naturalize_zh	naturalize_zh	明天我想看见你。	明天我想见你。		
tatoeba-2724550-5925235-fill_zh_en	fill_zh_en	I want to [上学] and study hard.	go to school		
tatoeba-2758078-1780777-naturalize_zh	naturalize_zh	你应当感激他。	你应该感谢他。		
tatoeba-30046-336483-naturalize_zh	naturalize_zh	我很高兴你能来派对参加。	我很高兴你能来参加派对。		
tatoeba-15807-4287483-fill_zh_en	fill_zh_en	Are you [赞成还是反对] his idea?	for or against		
